ID,Label,Text,Selected_Text,Selected_Text_Sentiment,Time_of_Post,User_Age,Population,Land_Size,Population_Density
1559,0,welcomes my nephew to the christian world.,welcomes my nephew to the christian world.,neutral,16,27,8278724,54390,152
1560,0," Loved the shoutout on TweetHampton, congrats!! Hope you`re feeling better, i missed you last weekend","Loved the shoutout on TweetHampton, congrats!! Hope you`re feeling better, i missed you last weekend",neutral,18,38,105695,720,147
1561,0, i`m fake. . Is that the same?   ~K~,i`m fake. . Is that the same?   ~K,neutral,7,57,1399488,5130,273
1562,1, seen him! he`s beautiful,beautiful,positive,12,64,11818619,155360,76
1563,0,Dubai!!! Still trying to settle down,Dubai!!! Still trying to settle down,neutral,22,93,84339067,770000,110
1564,0, hehe--sorry.  I`ve never been very good at blending in...,hehe--sorry.  I`ve never been very good at blending in...,neutral,9,20,6031200,469930,13
1565,0,Ok we found our way now... I think  tonight let`s just let go its dance time!,Ok we found our way now... I think  tonight let`s just let go its dance time!,neutral,15,23,11792,30,393
1566,0,"At work   leave for Berlin at 17:00 by car, will be a late arrival","At work   leave for Berlin at 17:00 by car, will be a late arrival",neutral,22,41,45741007,199810,229
1567,0,check on ya`ll in a bit. im in for a Mother`s day haircut. ciao!...,check on ya`ll in a bit. im in for a Mother`s day haircut. ciao!...,neutral,8,48,43733762,579320,75
1568,0, lol I really wanna go there!! Imma check the vid out rite now,lol I really wanna go there!! Imma check the vid out rite now,neutral,17,68,9890402,83600,118
1569,1,well Sunday the weather looks great gone take my bike to visite my mom on her day,weather looks great,positive,23,72,67886011,241930,281
1570,0, I miss you!!!! It`s lonely and empty without you!  http://yfrog.com/3o3zxoj,miss,negative,9,13,331002651,9147420,36
1571,1,"checked out Green Day on demand & saw the new live videos. U were right, they did blow my mind  I love u SGB, even more all the time, Mom","U were right, they did blow my mind  I love u SGB, even more all the time, Mom",positive,16,25,3473730,175020,20
1572,0, Soz no ideas. That is a reason i didnt take geography cz i would fall asleep as well. Lmao,Soz no ideas. That is a reason i didnt take geography cz i would fall asleep as well. Lmao,neutral,22,34,33469203,425400,79
1573,0,gutted - the handbag I wanted has been sold!,gutted -,negative,8,48,307145,12200,25
1574,0, Exactly!,Exactly!,neutral,14,63,28435940,882050,32
1575,0,"Beta 5 of 3.0 expired today, back on 2.2.1 until the public release. I miss it already",I miss it already,negative,22,75,97338579,310070,314
1576,1,actually loves nesquik cereal,loves,positive,10,10,29825964,527970,56
1577,0," My #followillfriday sucks because while I was teaching people how to be nice, you **** were drooling over Notion",sucks,negative,16,29,18383955,743390,25
1578,1, heyahh i thought u wern`t cumin to london till the 5th ? i love you taylorr ..****,love,positive,23,39,14862924,386850,38
1579,0, I want to go with you !  But I`m tierd....,m tierd,negative,7,58,38928346,652860,60
1580,0,Heeder`s again and on Monday as well... absolutely no plans for the weekend,Heeder`s again and on Monday as well... absolutely no plans for the weekend,neutral,13,70,2877797,27400,105
1581,0,is heading off to the fair,is heading off to the fair,neutral,20,72,43851044,2381740,18
1582,0,"A laodicean life for Kavya & family probably got Kavya her spelling bee crown! Congrats! Note, spell check doesnt recognize laodicean","A laodicean life for Kavya & family probably got Kavya her spelling bee crown! Congrats! Note, spell check doesnt recognize laodicean",neutral,9,13,77265,470,164
1583,0,sad day!!!!! Love you MaÃ¯Â¿Â½ (8 years ago!),sad day!!!!! Love you MaÃ¯Â¿Â½ (8 years ago!),neutral,13,30,32866272,1246700,26
1584,0,@_enzo blech... thats a fail when you`re receiving dollars. I quoted a job in USD last month. i`m getting paid now = major losses,fail,negative,22,35,97929,440,223
1585,0,"hopping in the shower,   you can help me tidy my room  its a **** hole, mums **** friends",y my room  its a **** hol,negative,8,46,45195774,2736690,17
1586,0, - So sorry Ambien got sick.  Perhaps work her ashes into the garden with a catnip plant?,t sick.,negative,17,70,2963243,28470,104
1587,0," btw, i am actually just trying to get my own lazy bottom in gear.  Me lots to do to and still not dressed !","btw, i am actually just trying to get my own lazy bottom in gear.  Me lots to do to and still not dressed !",neutral,23,70,25499884,7682300,3
1588,0," Yeah, plus I always totally overspend","Yeah, plus I always totally overspend",negative,11,11,9006398,82400,109
1589,0,i dont wanna miss the laker game tonight! i`m so sad,so sad,negative,17,21,10139177,82658,123
1590,0,"Will be going to Indiana Baptist Sunday, Pray for summer missionaries...","Will be going to Indiana Baptist Sunday, Pray for summer missionaries...",neutral,18,31,393244,10010,39
1591,0,My best friend is in vegas without me,My best friend is in vegas without me,neutral,11,46,1701575,760,2239
1592,1,_awake GOOD MIDDAY.,GOOD,positive,17,66,164689383,130170,1265
1593,0,where`s my new ,where`s my new,neutral,21,94,287375,430,668
1594,0,nooooooo  sue is retiring  no no no no!,nooooooo  sue is retiring  no no no no!,negative,10,19,9449323,202910,47
1595,1,i saw my credit-card statement. maybe i should receive the unholy Aiden fan package!! yaaaaay.,yaaaaay.,positive,16,21,11589623,30280,383
1596,0,... A kidney stone. Really?? Ugh  http://tinyurl.com/qsw9vq,A kidney stone.,negative,18,40,397628,22810,17
1597,0, not nerdy at all. I made one yesterday.,not nerdy at all. I made one yesterday.,neutral,7,57,12123200,112760,108
1598,0,Best purchases at today at the yard sales: 2 large dog crates ($30) and a refrigerator for the office ($35) didn`t buy anything old,Best purchases at today at the yard sales: 2 large dog crates ($30) and a refrigerator for the office ($35) didn`t buy anything old,neutral,14,64,771608,38100,20
1599,1, No I LOVE Jordie`s version as well as Joe`s and Donnie`s ALL 3 are DIFFERENT,o I LOVE,positive,23,91,11673021,1083300,11
1600,1,going to watch boy in the striped pj`s hope i don`t cry,hope i don`t cry,positive,9,17,3280819,51000,64
1601,1," Amazing! The concert, the city, everything. It was really an awesome trip","Amazing! The concert, the city, everything. It was really an awesome trip",positive,12,24,2351627,566730,4
1602,1,new supernatural tonight!,new supernatural tonight!,positive,20,34,212559417,8358140,25
1603,1,I think I would be a good radio dj...I like awesome music and I have a great personality!!!!  ;) !!!   !!!,good,positive,8,59,437479,5270,83
1604,0, Nope probably revision  Hbu? x,Nope probably revision  Hbu? x,neutral,16,60,6948445,108560,64
1605,1, He seemed all happy about it,He seemed all happy about it,positive,22,94,20903273,273600,76
1606,1, addict? Me? Okay I admit I need help  BUT... I have been writing hits big bro. I really really have *smile*,*smile,positive,10,12,11890784,25680,463
1607,0," gangstarr exgirl to the next girl, nas one mic, hold on i still can`t listen so i guess it dont matter","gangstarr exgirl to the next girl, nas one mic, hold on i still can`t listen so i guess it dont matter",neutral,14,26,26378274,318000,83
1608,1,let`s make this last forever.,last forever.,positive,20,44,555987,4030,138
1609,0,at the taste a addison w/ her fav. ppl,at the taste a addison w/ her fav. ppl,neutral,9,54,16718965,176520,95
1610,0, absolutely nothin,absolutely nothin,neutral,13,70,26545863,472710,56
1611,1, It`s your inherent humility,It`s your inherent humility,positive,19,86,37742154,9093510,4
1612,0,Watching boxing and waiting to go out to Hollywood tonight,Watching boxing and waiting to go out to Hollywood tonight,neutral,8,19,4829767,622980,8
1613,0,home from ice cream tweet-up (my very first tweet-up!) No pics because my camera battery died last night and i forgot to charge it,died,negative,15,25,16425864,1259200,13
1614,0,i ran out of facebook quizzes. lol grocery shopping then work. w00t?,i ran out of facebook quizzes. lol grocery shopping then work. w00t?,neutral,20,33,19116201,743532,26
1615,1,is ready for a productive friday. one of the last of the year,productive,positive,11,48,1439323776,9388211,153
1616,0, Bom apetite,Bom apetite,neutral,15,68,50882891,1109500,46
1617,0,Ahh! Members of the toasters and  playing with void union! Sick! I missed  and we are the union,Sick!,negative,23,88,869601,1861,467
1618,0, I don`t get as much time here either. It`s going to get worse now that the girls r home for summer.  It stinks.,. It`s going to get worse now that the girls r home for summer.  It stinks.,negative,9,17,5518087,342000,16
1619,0, why did u copy wot i wrote //hmm,why did u copy wot i wrote //hmm,neutral,17,24,5094118,51060,100
1620,0, Yeah ! I downloaded her whole album. :'> THE FAME ! I miss you taking care of me  Hahah !,THE FAME ! I miss you taking care of me  Hahah,neutral,18,37,4105267,55960,73
1621,0,lol my other tank/dps friend is having the same problem in a different guild.  wtf is wrong with this server?,lol my other tank/dps friend is having the same problem in a different guild.  wtf is wrong with this server?,negative,8,53,11326616,106440,106
1622,0, *hugs* listening to EBTG 'Each & Every One' perfect for public hol Monday morn with cuppa T,*hugs* listening to EBTG 'Each & Every One' perfect for public hol Monday morn with cuppa T,neutral,15,65,1207359,9240,131
1623,0," its a travesty, no? and, the people who are doing this said they`d THINK about involving joss whedon!!!!","its a travesty, no? and, the people who are doing this said they`d THINK about involving joss whedon!!!!",neutral,18,89,10708981,77240,139
1624,0,Cashflow forecasts are fun but big red numbers aren`t,Cashflow forecasts are fun but big red numbers aren`t,neutral,9,12,89561403,2267050,40
1625,1, All is well..That ends well! < unless of course well times the power of three = the sum of ends if X being All,All is well..That ends well!,positive,13,27,5792202,42430,137
1626,0," that`s the prob, no idea how to meet guys. Met all my exs online & now I`ve dated that pool dry","that`s the prob, no idea how to meet guys. Met all my exs online & now I`ve dated that pool dry",neutral,18,43,988000,23180,43
1627,1,10-Year-Old Girl Battles Rare Breast Cancer  http://bit.ly/JPe9c,Battles,positive,11,55,71986,750,96
1628,1," Ooh, cutting. I like you",I like you,positive,12,63,10847910,48300,225
1629,0,"didnt enjoy having to say goodbye to alex, v emotional times  but the sun is making me happy !","didnt enjoy having to say goodbye to alex, v emotional times  but the sun is making me happy !",neutral,22,87,17643054,248360,71
1630,0,deck building buddy missing in action,deck building buddy missing in action,neutral,9,11,102334404,995450,103
1631,1," a midwest girl, lol....so close and yet so far",lol....,positive,17,28,6486205,20720,313
1632,0, No.  I was thinking just before how much I miss my T-Dub.,No.  I was thinking just before how much I miss my T-Dub.,negative,18,38,1402985,28050,50
1633,1,Happy Mother`s Day.....................I had a gr8 day with my kids & my MUM,Happy Mother`s Day..,positive,6,58,3546421,101000,35
1634,0," Awww, here...WAZ UUUUP!!!   Seriously, glad y`all had fun.  Too bad my invite got lost in the mail lol. peace. xo","Seriously, glad y`all had fun.  Too bad my invite got lost in the mail",neutral,12,60,1326535,42390,31
1635,0,: eww. dislike,: eww. dislike,negative,23,97,1160164,17200,67
1636,1,going out for the good ol` `soak` tonight for a mothers day feed.       in love more then ever,ing,positive,6,16,114963588,1000000,115
1637,0,"I`m fighting off feeling sick. Hoping it`s just tired. I`m really not feeling too well, though",tired.,negative,16,25,896445,18270,49
1638,1,I didn`t check Twitter till just now. Thanks everyone for all the Congrats! I really really appreciate it  #fb,Thanks everyone for all the Congrats!,positive,21,35,5540720,304000,18
1639,0,trying to upload one thousand photos!!,trying to upload one thousand photos!!,neutral,9,47,65273511,547557,119
1640,1, Good night Erin!  i wouldn`t say that this is early or that you are old.,Good,positive,15,68,2225734,257670,9
1641,0, Thanks! We`re still all passing around germs here but we`re surviving.  Have I missed anything?,Thanks! We`re still all passing around germs here but we`re surviving.  Have I missed anything?,neutral,19,89,2416668,10120,239
1642,0,so now i dont get my car back til monday. boooo,so now i dont get my car back til monday. boooo,neutral,9,18,3989167,69490,57
1643,0, can u add ur link. I can`t find u on YouTube.,can u add ur link. I can`t find u on YouTube.,neutral,13,30,83783942,348560,240
1644,0,is going to a wedding in the afternoon,is going to a wedding in the afternoon,neutral,19,37,31072940,227540,137
1645,1,"got THE best mothers day present from Tys. It made me cry uncontrollably, and it wasn`t a present",THE best,positive,11,60,10423054,128900,81
1646,0,Took some phogs,Took some phogs,neutral,15,70,112523,340,331
1647,0,Little girls and their shallowness annoy me. On the good side i didnt straighten my hair at all today and it looks some what decent,Little girls and their shallowness annoy me. On the good side i didnt straighten my hair at all today and it looks some what decent,neutral,18,74,17915568,107160,167
1648,0,"$67 for my books, no complaints. 67 more than i had plus i`m on book voucher!","$67 for my books, no complaints. 67 more than i had plus i`m on book voucher!",neutral,8,16,13132795,246000,53
1649,1,good to have a (boy)friend like you,good to have a (boy)friend like you,positive,15,27,1968001,28120,70
1650,1,when living in Spain..you can NEVER take a hot shower for granted..luckily I have nice friends across the street,luckily I have nice friends across the street,positive,21,42,786552,196850,4
1651,0,i going to go to bed & i failed miserably at booking a holiday  although i do seem to have a new follower. HIGH FIVE. X,failed,negative,6,46,11402528,27560,414
1652,1," ahh, that would be a good reason.. Heh hope that goes well hun",hope that goes well,positive,15,63,801,0,2003
1653,0, you finally watched he`s just not that into you arizzard  justin long is sexy isn`t he! i told ya,you finally watched he`s just not that into you arizzard  justin long is sexy isn`t he! i told ya,neutral,19,97,9904607,111890,89
1654,0,my knee hurts!,my knee hurts!,negative,7,19,9660351,90530,107
1655,0,_II It`s foggy here,_II It`s foggy here,neutral,13,21,341243,100250,3
1656,0,"this hole twitter thing is new too me, its not letting me change my picture so your stuvk with the wee stpid thing for now",stuvk with the wee stpid thing fo,negative,21,45,1380004385,2973190,464
1657,0,Getting ready to ship a care package to the daughter. She`s not coming home this summer from college,Getting ready to ship a care package to the daughter. She`s not coming home this summer from college,neutral,9,47,273523615,1811570,151
1658,0, no sorry twitter sucks balls since the replys change  #fixreplies,no sorry,negative,13,64,83992949,1630000,52
1659,0,I lost a follower  oh well probably one of those mute ones anyway.,lost,negative,22,77,40222493,434320,93
1660,0,Just ordered an ASUS Eee PC.,Just ordered an ASUS Eee PC.,neutral,9,18,4937786,68890,72
1661,0,_Rain oh what the hell  way to tell me.,what the hell,negative,12,29,8655535,21640,400
1662,0, Your not alone,Your not alone,neutral,18,41,60461826,294140,206
1663,0,"FINALLY FINISHED MY **** FILM FINAL!!!  (Well, all except 1 part, but idk how to do it....) :/","FINALLY FINISHED MY **** FILM FINAL!!!  (Well, all except 1 part, but idk how to do it....)",neutral,11,49,2961167,10830,273
1664,1,gooooonight twitter...... i hope im better tomorrow,gooooonight,positive,13,66,126476461,364555,347
1665,0, who sings `I Remember`? i alwaysss hear it on Radio 1 but never catch the artist,who sings `I Remember`? i alwaysss hear it on Radio 1 but never catch the artist,neutral,18,81,10203134,88780,115
1666,0,  im trying to fix myself really but i need to stop cutting myself,o stop,negative,8,10,18776707,2699700,7
1667,0," Yeah, planning to do that actually. Got a Kinokuniya discount card, so I`m going to splurge.  Just worried about being overwhelmed.",Just worried about being overwhelmed,negative,13,23,53771296,569140,94
1668,0,tomorrow it`s the final competition,tomorrow it`s the final competition,neutral,21,43,119449,810,147
1669,0,"better get to sleep, dodger game/mothers day 2maro  ewl i have to wake up at 8!","better get to sleep, dodger game/mothers day 2maro  ewl i have to wake up at 8!",neutral,10,46,4270571,17820,240
1670,1, Thanks! I will tell her my friends on Twitter say so.,Thanks! I will tell her my friends on Twitter,positive,12,61,6524195,191800,34
1671,0,Hate being sick  especially when there`s no one to pamper me,Hate being sick,negative,19,92,7275560,230800,32
1672,0,woke up.,woke up.,neutral,8,16,1886198,62200,30
1673,0,Just finished lunch...Subway Eat Fresh.......now gotta go back to work,Just finished lunch...Subway Eat Fresh.......now gotta go back to work,neutral,16,27,6825445,10230,667
1674,1, ohhh beautiful place. You on hols? Go steady on the mead!,beautiful,positive,21,44,2142249,30360,71
1675,0,tonights a great night for sports. the yanks and lakers are both playing. i want to watch the games but im still scared to drink.,tonights a great night for sports. the yanks and lakers are both playing. i want to watch the games but im still scared to drink.,neutral,8,55,5057681,96320,53
1676,0,i have the bigggest headache,headache,negative,17,65,6871292,1759540,4
1677,1,"Fatigue settling in, but gotta power through! Awesome seats again tonight. I`m pretty lucky. Life ain`t too bad...","Fatigue settling in, but gotta power through! Awesome seats again tonight. I`m pretty lucky. Life ain`t too bad...",positive,23,96,38128,160,238
1678,0,i know i was wrong. maybe i shouldnt did all of those **** things like that,wrong.,negative,11,17,2722289,62700,43
1679,1, you`re welcome Chica,you`re welcome Chica,positive,17,27,625978,2590,242
1680,1," I`m fine, I`ve just been trying to figure out the meaning behind this song, and I cant think of anything.  urlm.in/cnmt","fine,",positive,23,42,27691018,581795,48
1681,0, lmao I`ve never met anyone who liked caramel this much,lmao I`ve never met anyone who liked caramel this much,neutral,10,53,19129952,94280,203
1682,0, oh no I hate that,I hate that,negative,14,68,32365999,328550,99
1683,0,Movie and popcorn time,Movie and popcorn time,neutral,19,72,540544,300,1802
1684,0," Interesting people like you should never be bored, Tooshers.","Interesting people like you should never be bored, Tooshers.",neutral,11,16,20250833,1220190,17
1685,1, holy cute! Dexter has already lost his kitten face  gettin a chunky butt since we got back from qld too haha,holy cute!,positive,14,21,441543,320,1380
1686,0, Naw forget it then. I will only if u take them,Naw forget it then. I will only if u take them,neutral,18,39,59190,180,329
1687,0,#Supernatural at 9:30pm on #Ten.. Counting down..,Counting down..,negative,8,50,4649658,1030700,5
1688,0, I`m at work,I`m at work,neutral,17,63,1271768,2030,626
1689,0,A Banana and 2 cups of Coffee...Not a so Healthy Breakfast!,Not a so Healthy,negative,23,81,128932753,1943950,66
1690,0,and before i crash Grilled Chicken breast w/ reefried beans  Gnite Twitties,and before i crash Grilled Chicken breast w/ reefried beans  Gnite Twitties,neutral,9,18,115023,700,164
1691,0,Ooh hayfever has struck..thought I was going to avoid it this year but nooo!  Remedies anyone...?,hayfever has struck..,negative,13,29,4033963,32850,123
1692,0, I never was good at platform games...,I never was good,negative,20,40,39242,1,26337
1693,1, womp womp woooomp!,womp womp woooomp!,positive,8,53,3278290,1553560,2
1694,0,city in a bittt.,city in a bittt.,neutral,12,66,628066,13450,47
1695,0, if its too hard go to ur guy peicing person and he shoud change it cause mine be hard to change to,hard,negative,22,83,36910560,446300,83
1696,0, u were doing good with the replys now u fallin off sad face,u fallin off sad face,negative,11,15,31255435,786380,40
1697,0,About to dye my hair and do my nails,About to dye my hair and do my nails,neutral,14,22,54409800,653290,83
1698,0,learning french  funy school-day today  don`t be mad about english :*:*,learning french  funy school-day today  don`t be mad about english :*:*,neutral,22,35,2540905,823000,3
1699,0,Dyed my hair. .'back to black',Dyed my hair. .'back to black',neutral,6,60,10824,20,541
1700,0,making mother`s day gift,making mother`s day gift,neutral,12,68,29136808,143350,203
1701,0," Uhhh.. not yet, maybe my DM inbox is just slow. I`ll let you know when it shows",slow.,negative,20,77,17134872,33720,508
1702,0,  me too! i don`t know why every time i listen to it i start to cry!,me too! i don`t know why every time i listen to it i start to cry!,neutral,9,17,4822233,263310,18
1703,0,Ugh feeling sick to my stomach and I have five more hours of work to go,sick,negative,15,28,6624554,120340,55
1704,1, Hey I saw SNL 2nite&I loved it!! especially the crumpin` ****-**** scene  'crumpin`34 dub' wow hilarious,' wow,positive,20,35,24206644,1266700,19
1705,0, maybe I missed my chance this time,maybe I missed my chance this time,negative,7,60,206139589,910770,226
1706,1,paramore songs? one of the best! currently listening to 'emergency',one of the best!,positive,13,63,25778816,120410,214
1707,0, Not Columbus but just wanted to say sorry to be missing Indiana show tomorrow. So sad  I will be in the woods with 8 GS.,sorry,negative,19,71,2083374,25220,83
1708,1, A new baby? How exciting  Congrats in advance,exciting,positive,6,18,5421241,365000,15
1709,1," Yes, this NBA song is great!!!  Got an old funny NBA cheerleader remix song. Ohrwurm of the day 'colorblind'.",song is great!,positive,14,30,5106626,309500,16
1710,1,"Pegel..cape ya keliling kuil..but,totally awesome!was amazed by the temple,culture,ambience..truly amazing thailand",awesome!wa,positive,20,36,220892340,770880,287
1711,1," just looked at your page and realised it was a radio show, get them to play Call It What You Want so love that track",love,positive,6,50,18094,460,39
1712,0," That`s the problem. The earphones I get here don`t last more than 2 months, no matter what brand or price.",That`s the problem.,negative,17,64,5101414,6020,847
1713,0," the signal that makes your internet 'go' is pretty bad  getting a tech out will get that fixed up, though!","the signal that makes your internet 'go' is pretty bad  getting a tech out will get that fixed up, though!",neutral,19,100,4314767,74340,58
1714,0,"YM, meebo & ebuddy really hate us      ",really hate us,negative,8,11,8947024,452860,20
1715,1,White House joins social networking sites > http://bit.ly/15Fo4X - better late than never,better late than never,positive,16,30,7132538,397300,18
1716,0, it was only announced in the last few days. Due to cancer I think,it was only announced in the last few days. Due to cancer I think,neutral,20,43,32971854,1280000,26
1717,1, So true Donna  Wish you a joyfull sunday ~Siddy,a joyfull,positive,9,59,109581078,298170,368
1718,0,"Room is clean, now it`s time for breakfast","Room is clean, now it`s time for breakfast",neutral,14,65,37846611,306000,124
1719,0,well here i go off to work,well here i go off to work,neutral,20,91,10196709,91590,111
1720,0," juice! I miss juice, any fruit",miss,negative,10,16,2881053,11610,248
1721,0, Lots of things Nico. Gud news: I have a job Bad news: Its in the middle of nowhere. Got my phone 4 twitter but cnt play videos.,Lots of things Nico. Gud news: I have a job Bad news: Its in the middle of nowhere. Got my phone 4 twitter but cnt play videos.,neutral,16,23,19237691,230170,84
1722,1,"  cool, i saw it now in the link thanks",cool,positive,23,41,145934462,16376870,9
1723,0,"Ahhh, 7 am meetings  thanks Reimer!","Ahhh,",negative,8,60,12952218,24670,525
1724,0," Thx! Old computer here, too slow for both Kubuntu and Blender really.","Old computer here, too slow",negative,13,70,53199,260,205
1725,0,my blog is now updated,my blog is now updated,neutral,18,71,183627,610,301
1726,0,"A bunny was eating my moms plants. Naturally, she started shooting. No more bunny.","A bunny was eating my moms plants. Naturally, she started shooting. No more bunny.",neutral,6,18,110940,390,284
1727,0, I will be sending it to you when I get my first check if I make enough lol I have only worked like 8 hours so far,I will be sending it to you when I get my first check if I make enough lol I have only worked like 8 hours so far,neutral,16,25,198414,2830,70
1728,0, But he got to do it with Effy!,But he got to do it with Effy!,neutral,22,37,33931,60,566
1729,0,Still Doing Grench paper and still getting distracted,distracted,negative,8,46,219159,960,228
1730,1,  I saw you started following me -  Welcome - what do you do in AKL and for whom?,#NAME?,positive,13,61,34813871,2149690,16
1731,0,_H ok so who do you know on Daisy of Love? And have you seen it yet. oh lord,_H ok so who do you know on Daisy of Love? And have you seen it yet. oh lord,neutral,19,94,16743927,192530,87
1732,0,so i got to my exam centre n they said we can`t let u becuz of your sleeveless top! U cud BELIEVE that!? i had to go home,U cud BELIEVE that!?,negative,6,12,8737371,87460,100
1733,0,figuring out wats wrong with her she can drink but cant eat  ...,figuring out wats wrong with her she can drink but cant eat  ...,negative,15,23,98347,460,214
1734,0, I was kiddin` with you. Shy is not a word i`d use to describe me,I was kiddin` with you. Shy is not a word i`d use to describe me,neutral,19,40,7976983,72180,111
1735,0,"Fyi- putting makeup on under flourescents = FAIL. ... oh face-peely, why must you look so hideous? Also, wheres my lipstick?",FAIL.,negative,8,59,5850342,700,8358
1736,0,"AC is broke at the house. waiting to get an estimate on timeframe to repair. on the bright side, gonna join CoLab this week.","AC is broke at the house. waiting to get an estimate on timeframe to repair. on the bright side, gonna join CoLab this week.",neutral,12,66,5459642,48088,114
1737,0, Sadly cannot listen...  *sob*,Sadly cannot listen...  *sob*,negative,18,78,2078938,20140,103
1738,0,Wee are going to the movies tonight to see Wolverine,Wee are going to the movies tonight to see Wolverine,neutral,9,20,686884,28000,25
1739,0,wants chocolate milkkk,wants chocolate milkkk,neutral,13,28,15893222,627340,25
1740,0,"friday here at last, not much fun when your skint though",not much fun,negative,18,44,59308690,1213090,49
1741,0, Equations and graphs,Equations and graphs,neutral,11,51,51269185,97230,527
1742,1," Don`t fall to celebrity worship, though... just write what you think, do the best you can and rock on",e best,positive,15,67,11193725,610952,18
1743,1,"I`m home, Yay! Unpacked everything, now just got to wash it all",Yay! Un,positive,22,76,46754778,498800,94
1744,0,"wow my grandma passed away....I`m too sick to even think, I know she`s in a better place now",sick,negative,7,15,21413249,62710,341
1745,0,20 John: :   http://tinyurl.com/cq5nkp,20 John:,neutral,16,27,43849260,1765048,25
1746,0," That was my entire week!! I didn`t get to design once while at my GRAPHIC DESIGN job, only at home doing freelance. Sad.",Sad.,negative,22,42,586632,156000,4
1747,0,"in case you missed it on my fb status: looking for maui hotel recommendations. yes, maui!",missed,negative,6,53,10099265,410340,25
1748,1,Happy Star Wars day! May the 4th be with you!,Happy Star Wars day! May the 4th be with you!,positive,12,67,8654622,39500,219
1749,1,it`s good to see all my family  was a good day today,it`s good to see,positive,21,89,17500658,183630,95
1750,1, okay thank you! i can`t find it,okay thank you! i,positive,10,12,9537645,139960,68
1751,0,"actually, i think i`m being mean to her....i feel sorry now",sorry,negative,15,25,59734218,885800,67
1752,0,"I was just watching some cartoons as I haven`t in years when I was eating my breakfast, the programs have changed","I was just watching some cartoons as I haven`t in years when I was eating my breakfast, the programs have changed",neutral,21,32,69799978,510890,137
1753,0, i missed the game,i missed the game,negative,9,60,1318445,14870,89
1754,0,When are  gonna release another album already?!? I miss them,miss,negative,17,70,8278724,54390,152
1755,0," oh dear.  that is terrible. however, moleskine notebooks rule. a lot.",oh dear.  that is terrible,negative,21,93,105695,720,147
1756,1, I don`t mind him not paying rent. I`m just over the moon at the idea of him moving out at least 12 years early,I`m just over the moon,positive,11,16,1399488,5130,273
1757,0," that`s what i did with my other friends dati e. i could totally do that.  Lian, Eina, Gelli, you, Zero & Francis. we`ll fit!","that`s what i did with my other friends dati e. i could totally do that.  Lian, Eina, Gelli, you, Zero & Francis. we`ll fit!",neutral,12,21,11818619,155360,76
1758,0,why do i have to wake up so early goddam?! 7.30 on my last day off  bummer,goddam?!,negative,18,39,84339067,770000,110
1759,1,Always get my hopes up too soon...we were soooo close,hopes,positive,6,58,6031200,469930,13
1760,0,  will have to wait on the recipe at Simply Recipes.  Sorries!,.  Sorrie,negative,15,70,11792,30,393
1761,1,"I just put my TV on the Canucks game and they score  yaay come on VanCity baby (I know, I can`t believe I`m watching hockey either)",yaay,positive,20,90,45741007,199810,229
1762,1,The Skimchamp Taxi Service!  best in the land!,best in the land!,positive,6,14,43733762,579320,75
1763,0,My knee is killing me,My knee is killing me,negative,16,30,9890402,83600,118
1764,0," Plus you guys have IceTV, which I REALLY miss from living there.",I REALLY miss,negative,18,37,67886011,241930,281
1765,1,"And here goes my first Twitter from #TwitterBerry Application from my #BlackBerry Bold 9000..  Cheers, long live.. #SMR","Cheers, long live..",positive,9,53,331002651,9147420,36
1766,1," awww  no problem , sorry for tha loss","awww  no problem , sorry for tha loss",positive,13,66,3473730,175020,20
1767,1," Have fun, hon! Ooh, look what a poet I am.",look what a poet I am.,positive,23,73,33469203,425400,79
1768,0,"In 24hrs time I will be at uni waiting to start my 1st exam, scary. I am working hard this morning though, and feeling ok about it atm","In 24hrs time I will be at uni waiting to start my 1st exam, scary. I am working hard this morning though, and feeling ok about it atm",neutral,8,19,307145,12200,25
1769,0, my name too    (Soulja Boy Tell `Em LIVE live > http://ustre.am/2UhS),my name too,neutral,17,23,28435940,882050,32
1770,0, it`s definitely worth it; art not withstanding  I hate moving; and hate packing even more..,I hate moving; and hate packing even more,negative,23,35,97338579,310070,314
1771,1, really enjoyed the podcast with  This was my 1st time listenening to the show. Will def listen from now on,really enjoyed the podcast with  This was my 1st time listenening to the show. Will def listen from now on,positive,8,50,29825964,527970,56
1772,0,"Gone up to 8mm on my plug. Help, this is where I said I`d go maximum and I still want to stretch it more...","Gone up to 8mm on my plug. Help, this is where I said I`d go maximum and I still want to stretch it more...",neutral,16,66,18383955,743390,25
1773,0,"You know you`re up too late when the TCU nightly scan starts! Oh well, I graduated today","You know you`re up too late when the TCU nightly scan starts! Oh well, I graduated today",neutral,20,83,14862924,386850,38
1774,0,doesn`t sound so great at all  http://is.gd/JslB #palmpre,doesn`t sound so great at,negative,7,16,38928346,652860,60
1775,0,  night boyssss,night boyssss,neutral,15,25,2877797,27400,105
1776,0,I should be in NYC right now with some of my favorite people but instead I am stuck in RI.,I should be in NYC right now with some of my favorite people but instead I am stuck in RI.,neutral,23,32,43851044,2381740,18
1777,1,dam just finished watching Prison Break: the final break...omg i dont think i`ve cried so hard for a show..Finally understand the finale,i dont think i`ve cried so hard for a show..,positive,6,48,77265,470,164
1778,0, why don`t u use twitpic? none of ur pics show up on my phone,why don`t u use twitpic? none of ur pics show up on my phone,neutral,12,70,32866272,1246700,26
